PERMNO,date,Year,TICKER,COMNAM,PRC,RET,sprtrn,annual_sprtrn,Rf
14593,1/31/2008,2008,AAPL,APPLE INC,135.36,-0.31664,-0.061163432,-0.3849,0.0366
14593,2/29/2008,2008,AAPL,APPLE INC,125.02,-0.076389,-0.034761193,-0.3849,0.0366
14593,3/31/2008,2008,AAPL,APPLE INC,143.5,0.147816,-0.005959624,-0.3849,0.0366
14593,4/30/2008,2008,AAPL,APPLE INC,173.95,0.212195,0.047546698,-0.3849,0.0366
14593,5/30/2008,2008,AAPL,APPLE INC,188.75,0.085082,0.010674182,-0.3849,0.0366
14593,6/30/2008,2008,AAPL,APPLE INC,167.44,-0.112901,-0.085962385,-0.3849,0.0366
14593,7/31/2008,2008,AAPL,APPLE INC,158.95,-0.050705,-0.009859371,-0.3849,0.0366
14593,8/29/2008,2008,AAPL,APPLE INC,169.53,0.066562,0.012190465,-0.3849,0.0366
14593,9/30/2008,2008,AAPL,APPLE INC,113.66,-0.329558,-0.090791434,-0.3849,0.0366
14593,10/31/2008,2008,AAPL,APPLE INC,107.59,-0.053405,-0.169424524,-0.3849,0.0366
14593,11/28/2008,2008,AAPL,APPLE INC,92.67,-0.138675,-0.074849043,-0.3849,0.0366
14593,12/31/2008,2008,AAPL,APPLE INC,85.35,-0.07899,0.007821577,-0.3849,0.0366
14593,1/30/2009,2009,AAPL,APPLE INC,90.13,0.056005,-0.085657343,0.2345,0.0326
14593,2/27/2009,2009,AAPL,APPLE INC,89.31,-0.009098,-0.109931198,0.2345,0.0326
14593,3/31/2009,2009,AAPL,APPLE INC,105.12,0.177024,0.085404462,0.2345,0.0326
14593,4/30/2009,2009,AAPL,APPLE INC,125.83,0.197013,0.09392508,0.2345,0.0326
14593,5/29/2009,2009,AAPL,APPLE INC,135.81,0.079313,0.053081446,0.2345,0.0326
14593,6/30/2009,2009,AAPL,APPLE INC,142.42999,0.048745,0.000195827,0.2345,0.0326
14593,7/31/2009,2009,AAPL,APPLE INC,163.39,0.14716,0.074141727,0.2345,0.0326
14593,8/31/2009,2009,AAPL,APPLE INC,168.21001,0.0295,0.033560189,0.2345,0.0326
14593,9/30/2009,2009,AAPL,APPLE INC,185.35001,0.101896,0.035723346,0.2345,0.0326
14593,10/30/2009,2009,AAPL,APPLE INC,188.5,0.016995,-0.019762001,0.2345,0.0326
14593,11/30/2009,2009,AAPL,APPLE INC,199.91,0.060531,0.057364062,0.2345,0.0326
14593,12/31/2009,2009,AAPL,APPLE INC,210.73199,0.054134,0.017770571,0.2345,0.0326
14593,1/29/2010,2010,AAPL,APPLE INC,192.063,-0.088591,-0.036974246,0.1278,0.0322
14593,2/26/2010,2010,AAPL,APPLE INC,204.62,0.06538,0.028513689,0.1278,0.0322
14593,3/31/2010,2010,AAPL,APPLE INC,235,0.14847,0.058796426,0.1278,0.0322
14593,4/30/2010,2010,AAPL,APPLE INC,261.09,0.111021,0.01475923,0.1278,0.0322
14593,5/28/2010,2010,AAPL,APPLE INC,256.88,-0.016125,-0.081975842,0.1278,0.0322
14593,6/30/2010,2010,AAPL,APPLE INC,251.53,-0.020827,-0.053882442,0.1278,0.0322
14593,7/30/2010,2010,AAPL,APPLE INC,257.25,0.022741,0.06877785,0.1278,0.0322
14593,8/31/2010,2010,AAPL,APPLE INC,243.10001,-0.055005,-0.047449184,0.1278,0.0322
14593,9/30/2010,2010,AAPL,APPLE INC,283.75,0.167215,0.087551103,0.1278,0.0322
14593,10/29/2010,2010,AAPL,APPLE INC,300.98001,0.060723,0.036855994,0.1278,0.0322
14593,11/30/2010,2010,AAPL,APPLE INC,311.14999,0.03379,-0.00229025,0.1278,0.0322
14593,12/31/2010,2010,AAPL,APPLE INC,322.56,0.03667,0.06530004,0.1278,0.0322
14593,1/31/2011,2011,AAPL,APPLE INC,339.32001,0.051959,0.022645574,0,0.0278
14593,2/28/2011,2011,AAPL,APPLE INC,353.20999,0.040935,0.031956564,0,0.0278
14593,3/31/2011,2011,AAPL,APPLE INC,348.50751,-0.013314,-0.001047313,0,0.0278
14593,4/29/2011,2011,AAPL,APPLE INC,350.13,0.004656,0.02849538,0,0.0278
14593,5/31/2011,2011,AAPL,APPLE INC,347.82999,-0.006569,-0.013500953,0,0.0278
14593,6/30/2011,2011,AAPL,APPLE INC,335.67001,-0.03496,-0.018257461,0,0.0278
14593,7/29/2011,2011,AAPL,APPLE INC,390.48001,0.163285,-0.021474426,0,0.0278
14593,8/31/2011,2011,AAPL,APPLE INC,384.82999,-0.014469,-0.056791107,0,0.0278
14593,9/30/2011,2011,AAPL,APPLE INC,381.32001,-0.009121,-0.071761988,0,0.0278
14593,10/31/2011,2011,AAPL,APPLE INC,404.78,0.061523,0.107723039,0,0.0278
14593,11/30/2011,2011,AAPL,APPLE INC,382.20001,-0.055783,-0.005058715,0,0.0278
14593,12/30/2011,2011,AAPL,APPLE INC,405,0.059655,0.008532764,0,0.0278
14593,1/31/2012,2012,AAPL,APPLE INC,456.48001,0.127111,0.043583062,0.1341,0.018
14593,2/29/2012,2012,AAPL,APPLE INC,542.44,0.188311,0.040589464,0.1341,0.018
14593,3/30/2012,2012,AAPL,APPLE INC,599.54999,0.105284,0.031332315,0.1341,0.018
14593,4/30/2012,2012,AAPL,APPLE INC,583.97998,-0.025969,-0.007497453,0.1341,0.018
14593,5/31/2012,2012,AAPL,APPLE INC,577.72998,-0.010702,-0.062650726,0.1341,0.018
14593,6/29/2012,2012,AAPL,APPLE INC,584,0.010853,0.039554982,0.1341,0.018
14593,7/31/2012,2012,AAPL,APPLE INC,610.76001,0.045822,0.012597574,0.1341,0.018
14593,8/31/2012,2012,AAPL,APPLE INC,665.23999,0.093539,0.01976337,0.1341,0.018
14593,9/28/2012,2012,AAPL,APPLE INC,667.10498,0.002803,0.024236154,0.1341,0.018
14593,10/31/2012,2012,AAPL,APPLE INC,595.32001,-0.107607,-0.01978941,0.1341,0.018
14593,11/30/2012,2012,AAPL,APPLE INC,585.28003,-0.012413,0.002846717,0.1341,0.018
14593,12/31/2012,2012,AAPL,APPLE INC,532.17291,-0.090738,0.00706823,0.1341,0.018
14593,1/31/2013,2013,AAPL,APPLE INC,455.48999,-0.144094,0.050428097,0.296,0.0235
14593,2/28/2013,2013,AAPL,APPLE INC,441.39999,-0.025116,0.011060649,0.296,0.0235
14593,3/28/2013,2013,AAPL,APPLE INC,442.66,0.002855,0.035987724,0.296,0.0235
14593,4/30/2013,2013,AAPL,APPLE INC,442.78,0.000271,0.018085768,0.296,0.0235
14593,5/31/2013,2013,AAPL,APPLE INC,449.73499,0.022596,0.020762812,0.296,0.0235
14593,6/28/2013,2013,AAPL,APPLE INC,396.53,-0.118303,-0.014999302,0.296,0.0235
14593,7/31/2013,2013,AAPL,APPLE INC,452.53,0.141225,0.04946208,0.296,0.0235
14593,8/30/2013,2013,AAPL,APPLE INC,487.216,0.083389,-0.031298019,0.296,0.0235
14593,9/30/2013,2013,AAPL,APPLE INC,476.75,-0.021481,0.029749523,0.296,0.0235
14593,10/31/2013,2013,AAPL,APPLE INC,522.70203,0.096386,0.044595753,0.296,0.0235
14593,11/29/2013,2013,AAPL,APPLE INC,556.07001,0.069673,0.028049472,0.296,0.0235
14593,12/31/2013,2013,AAPL,APPLE INC,561.02002,0.008902,0.023562792,0.296,0.0235
14593,1/31/2014,2014,AAPL,APPLE INC,500.60001,-0.107697,-0.035582906,0.1139,0.0254
14593,2/28/2014,2014,AAPL,APPLE INC,526.23999,0.057311,0.04311703,0.1139,0.0254
14593,3/31/2014,2014,AAPL,APPLE INC,536.73999,0.019953,0.006932166,0.1139,0.0254
14593,4/30/2014,2014,AAPL,APPLE INC,590.09003,0.099396,0.006200789,0.1139,0.0254
14593,5/30/2014,2014,AAPL,APPLE INC,633,0.078293,0.02103028,0.1139,0.0254
14593,6/30/2014,2014,AAPL,APPLE INC,92.93,0.027662,0.019058332,0.1139,0.0254
14593,7/31/2014,2014,AAPL,APPLE INC,95.6,0.028731,-0.015079831,0.1139,0.0254
14593,8/29/2014,2014,AAPL,APPLE INC,102.5,0.077092,0.037655295,0.1139,0.0254
14593,9/30/2014,2014,AAPL,APPLE INC,100.75,-0.017073,-0.015513837,0.1139,0.0254
14593,10/31/2014,2014,AAPL,APPLE INC,108,0.07196,0.023201461,0.1139,0.0254
14593,11/28/2014,2014,AAPL,APPLE INC,118.93,0.105556,0.024533589,0.1139,0.0254
14593,12/31/2014,2014,AAPL,APPLE INC,110.38,-0.071891,-0.004188588,0.1139,0.0254
14593,1/30/2015,2015,AAPL,APPLE INC,117.16,0.061424,-0.031040806,-0.0073,0.0214
14593,2/27/2015,2015,AAPL,APPLE INC,128.46001,0.100461,0.054892511,-0.0073,0.0214
14593,3/31/2015,2015,AAPL,APPLE INC,124.43,-0.031372,-0.017396107,-0.0073,0.0214
14593,4/30/2015,2015,AAPL,APPLE INC,125.15,0.005786,0.00852082,-0.0073,0.0214
14593,5/29/2015,2015,AAPL,APPLE INC,130.28,0.045146,0.010491382,-0.0073,0.0214
14593,6/30/2015,2015,AAPL,APPLE INC,125.425,-0.037266,-0.021011672,-0.0073,0.0214
14593,7/31/2015,2015,AAPL,APPLE INC,121.3,-0.032888,0.01974203,-0.0073,0.0214
14593,8/31/2015,2015,AAPL,APPLE INC,112.76,-0.066117,-0.062580818,-0.0073,0.0214
14593,9/30/2015,2015,AAPL,APPLE INC,110.3,-0.021816,-0.026442832,-0.0073,0.0214
14593,10/30/2015,2015,AAPL,APPLE INC,119.5,0.083409,0.082983118,-0.0073,0.0214
14593,11/30/2015,2015,AAPL,APPLE INC,118.3,-0.00569,0.000504869,-0.0073,0.0214
14593,12/31/2015,2015,AAPL,APPLE INC,105.26,-0.110228,-0.017530185,-0.0073,0.0214
14593,1/29/2016,2016,AAPL,APPLE INC,97.34,-0.075242,-0.050735322,0.0954,0.0184
14593,2/29/2016,2016,AAPL,APPLE INC,96.69,-0.001335,-0.00412836,0.0954,0.0184
14593,3/31/2016,2016,AAPL,APPLE INC,108.99,0.127211,0.065991115,0.0954,0.0184
14593,4/29/2016,2016,AAPL,APPLE INC,93.74,-0.139921,0.002699398,0.0954,0.0184
14593,5/31/2016,2016,AAPL,APPLE INC,99.86,0.071368,0.015324602,0.0954,0.0184
14593,6/30/2016,2016,AAPL,APPLE INC,95.6,-0.04266,0.000910921,0.0954,0.0184
14593,7/29/2016,2016,AAPL,APPLE INC,104.21,0.090063,0.035609801,0.0954,0.0184
14593,8/31/2016,2016,AAPL,APPLE INC,106.1,0.023606,-0.001219243,0.0954,0.0184
14593,9/30/2016,2016,AAPL,APPLE INC,113.05,0.065504,-0.001234451,0.0954,0.0184
14593,10/31/2016,2016,AAPL,APPLE INC,113.54,0.004334,-0.019425679,0.0954,0.0184
14593,11/30/2016,2016,AAPL,APPLE INC,110.52,-0.021578,0.034174522,0.0954,0.0184
14593,12/30/2016,2016,AAPL,APPLE INC,115.82,0.047955,0.018200762,0.0954,0.0184
14593,1/31/2017,2017,AAPL,APPLE INC,121.35,0.047746,0.017884358,0.1942,0.0233
14593,2/28/2017,2017,AAPL,APPLE INC,136.99001,0.133581,0.03719816,0.1942,0.0233
14593,3/31/2017,2017,AAPL,APPLE INC,143.66,0.04869,-0.000389197,0.1942,0.0233
14593,4/28/2017,2017,AAPL,APPLE INC,143.64999,-0.00007,0.009091209,0.1942,0.0233
14593,5/31/2017,2017,AAPL,APPLE INC,152.75999,0.067804,0.011576251,0.1942,0.0233
14593,6/30/2017,2017,AAPL,APPLE INC,144.02,-0.057214,0.004813775,0.1942,0.0233
14593,7/31/2017,2017,AAPL,APPLE INC,148.73,0.032704,0.019348826,0.1942,0.0233
14593,8/31/2017,2017,AAPL,APPLE INC,164,0.106905,0.000546433,0.1942,0.0233
14593,9/29/2017,2017,AAPL,APPLE INC,154.12,-0.060244,0.019302979,0.1942,0.0233
14593,10/31/2017,2017,AAPL,APPLE INC,169.03999,0.096808,0.022188135,0.1942,0.0233
