Month,Portfolio_return,Mkt_excess_return,SMB,HML,RF
11/30/2011,0.07,-0.28,-0.16,-0.46,0
12/30/2011,3.06,0.74,-0.59,1.63,0
1/31/2012,-2.11,5.05,2.04,-0.97,0
2/29/2012,2.15,4.42,-1.85,0.43,0
3/30/2012,2.39,3.11,-0.64,1.14,0
4/30/2012,1.01,-0.85,-0.42,-0.78,0
5/31/2012,-2.18,-6.19,0.07,-1.07,0.01
6/29/2012,3.98,3.89,0.67,0.62,0
7/31/2012,3.49,0.79,-2.74,-0.02,0
8/31/2012,-1.43,2.55,0.47,1.3,0.01
9/28/2012,2.53,2.73,0.5,1.6,0.01
10/31/2012,-1.15,-1.76,-1.15,3.59,0.01
11/30/2012,-0.33,0.78,0.63,-0.84,0.01
12/31/2012,-1.21,1.18,1.48,3.51,0.01
1/31/2013,4.17,5.57,0.33,0.96,0
2/28/2013,0.5,1.29,-0.27,0.11,0
3/28/2013,2.27,4.03,0.81,-0.19,0
4/30/2013,4.74,1.55,-2.37,0.45,0
5/31/2013,3.44,2.8,1.7,2.63,0
6/28/2013,-1.82,-1.2,1.33,0.03,0
7/31/2013,4.22,5.65,1.87,0.57,0
8/30/2013,-1.66,-2.71,0.27,-2.69,0
9/30/2013,4.1,3.77,2.88,-1.22,0
10/31/2013,6.47,4.18,-1.53,1.25,0
11/29/2013,3.39,3.13,1.29,0.32,0
12/31/2013,2.24,2.81,-0.46,-0.02,0
1/31/2014,-3.99,-3.32,0.89,-2.07,0
2/28/2014,5.14,4.65,0.35,-0.31,0
3/31/2014,1.89,0.43,-1.81,4.93,0
4/30/2014,-0.01,-0.19,-4.19,1.17,0
5/30/2014,2.08,2.06,-1.88,-0.13,0
6/30/2014,2.1,2.61,3.09,-0.7,0
7/31/2014,-2.26,-2.04,-4.29,0.03,0
8/29/2014,4.59,4.24,0.4,-0.45,0
9/30/2014,-1.4,-1.97,-3.71,-1.34,0
10/31/2014,1.9,2.52,4.21,-1.81,0
11/28/2014,1.49,2.55,-2.06,-3.09,0
12/31/2014,0.32,-0.06,2.49,2.27,0
1/30/2015,-5.98,-3.11,-0.56,-3.58,0
2/27/2015,8.92,6.13,0.63,-1.86,0
3/31/2015,-2.51,-1.12,3.04,-0.37,0
4/30/2015,5.66,0.59,-3.06,1.82,0
5/29/2015,0.64,1.36,0.93,-1.14,0
6/30/2015,-1.62,-1.53,2.91,-0.79,0
7/31/2015,-1.73,1.54,-4.17,-4.13,0
8/31/2015,-2.95,-6.04,0.33,2.77,0
9/30/2015,-2.84,-3.07,-2.62,0.56,0
10/30/2015,11.98,7.75,-1.88,-0.46,0
11/30/2015,3.52,0.56,3.6,-0.42,0
12/31/2015,-4.51,-2.17,-2.84,-2.61,0.01
1/29/2016,2.65,-5.77,-3.42,2.09,0.01
2/29/2016,-0.55,-0.07,0.73,-0.57,0.02
3/31/2016,5.91,6.96,0.82,1.19,0.02
4/29/2016,-0.97,0.91,0.76,3.28,0.01
5/31/2016,-0.53,1.78,-0.17,-1.66,0.01
6/30/2016,5.19,-0.05,0.61,-1.48,0.02
7/29/2016,0.45,3.95,2.49,-1.32,0.02
8/31/2016,-1.73,0.49,1.15,3.18,0.02
9/30/2016,-0.61,0.25,2.12,-1.24,0.02
10/31/2016,-2,-2.02,-4.4,4.09,0.02
11/30/2016,-0.67,4.86,5.71,8.21,0.01
12/30/2016,3.32,1.81,0.1,3.53,0.03
1/31/2017,1.76,1.94,-1.19,-2.75,0.04
2/28/2017,2.86,3.57,-2.05,-1.67,0.04
3/31/2017,1.33,0.17,1.14,-3.35,0.03
4/28/2017,0.53,1.09,0.73,-2.13,0.05
5/31/2017,3.48,1.06,-2.57,-3.78,0.06
6/30/2017,1.33,0.78,2.25,1.48,0.06
7/31/2017,2.87,1.87,-1.51,-0.31,0.07
8/31/2017,-0.11,0.16,-1.67,-2.09,0.09
9/29/2017,3.3,2.51,4.47,3.14,0.09
10/31/2017,5.45,2.25,-1.94,0.2,0.09
11/30/2017,2.05,3.12,-0.55,-0.03,0.08
12/29/2017,2.33,1.06,-1.32,0.06,0.09
1/31/2018,10.87,5.57,-3.13,-1.29,0.12
2/28/2018,-0.71,-3.65,0.25,-1.04,0.11
3/29/2018,-3.39,-2.35,4.06,-0.21,0.11
4/30/2018,0.99,0.28,1.13,0.54,0.14
5/31/2018,4.18,2.65,5.25,-3.2,0.14
6/29/2018,-2.1,0.48,1.14,-2.34,0.14
7/31/2018,5.79,3.19,-2.22,0.47,0.16
8/31/2018,3.67,3.44,1.14,-3.94,0.16
9/28/2018,2.02,0.06,-2.27,-1.7,0.15
10/31/2018,-10.58,-7.68,-4.78,3.4,0.19
11/30/2018,-2.01,1.69,-0.68,0.3,0.18
12/31/2018,-9.69,-9.57,-2.38,-1.84,0.2
1/31/2019,8.03,8.4,2.9,-0.46,0.21
2/28/2019,2.85,3.4,2.05,-2.67,0.18
3/29/2019,1.9,1.1,-3.05,-4.17,0.19
4/30/2019,1.91,3.97,-1.74,2.15,0.21
5/31/2019,-3.63,-6.94,-1.32,-2.37,0.21
6/28/2019,5.76,6.93,0.29,-0.71,0.18
7/31/2019,1.11,1.19,-1.93,0.48,0.19
8/30/2019,-0.69,-2.58,-2.38,-4.78,0.16
9/30/2019,4.54,1.43,-0.96,6.75,0.18
10/31/2019,0.45,2.06,0.29,-1.91,0.16
11/29/2019,1.83,3.87,0.77,-2.02,0.12
12/31/2019,2.77,2.77,0.73,1.75,0.14
1/31/2020,-0.8,-0.11,-3.11,-6.25,0.13
2/28/2020,-7.55,-8.13,1.07,-3.81,0.12
3/31/2020,-10.92,-13.39,-4.83,-13.87,0.13
4/30/2020,9.88,13.65,2.45,-1.33,0
5/29/2020,5.15,5.58,2.47,-4.88,0.01
6/30/2020,8.78,2.46,2.69,-2.2,0.01
7/31/2020,7.83,5.77,-2.33,-1.41,0.01
8/31/2020,10.86,7.63,-0.22,-2.97,0.01
9/30/2020,-3.59,-3.63,0.02,-2.71,0.01
10/30/2020,-2.56,-2.1,4.38,4.25,0.01
11/30/2020,14.84,12.47,5.8,2.09,0.01
12/31/2020,4.04,4.63,4.89,-1.51,0.01
1/29/2021,0.55,-0.03,7.36,3.01,0.01
2/26/2021,10.91,2.78,2.05,7.15,0
3/31/2021,3.63,3.08,-2.37,7.39,0
4/30/2021,4.94,4.93,-3.19,-0.95,0
5/28/2021,2.65,0.29,-0.25,7.09,0
6/30/2021,4.96,2.75,1.68,-7.87,0
7/30/2021,-3.8,1.27,-3.97,-1.78,0
8/31/2021,3.92,2.91,-0.42,-0.15,0
9/30/2021,-0.2,-4.37,0.71,5.08,0
10/29/2021,8.83,6.65,-2.35,-0.49,0
11/30/2021,-1.06,-1.55,-1.32,-0.45,0
12/31/2021,1.6,3.1,-1.67,3.26,0.01
1/31/2022,0.05,-6.25,-5.94,12.75,0
2/28/2022,0.25,-2.29,2.19,3.08,0
3/31/2022,3,3.05,-1.61,-1.81,0.01
4/29/2022,-14.11,-9.46,-1.39,6.17,0.01
5/31/2022,3.74,-0.34,-1.83,8.39,0.03
6/30/2022,-11.3,-8.43,2.1,-5.97,0.06
7/29/2022,13.51,9.57,2.81,-4.05,0.08
8/31/2022,-0.86,-3.77,1.4,0.29,0.19
9/30/2022,-13.25,-9.35,-0.81,0.05,0.19
10/31/2022,14.03,7.83,0.06,8.01,0.23
11/30/2022,4.98,4.6,-3.52,1.38,0.29
12/30/2022,0,-6.41,-0.69,1.37,0.33
